product_id,avg_sentiment,sentiment,sentiment_score
B079S811J3,0.9977,Positive,0.9977
B07B88KQZ8,0.9977,Positive,0.9977
B0BD3T6Z1D,0.9977,Positive,0.9977
B09XTQFFCG,0.9976,Positive,0.9976
B00S2SEV7K,0.9975,Positive,0.9975
B07RZZ1QSW,0.9975,Positive,0.9975
B09NL7LBWT,0.9975,Positive,0.9975
B0BMGB2TPR,0.9975,Positive,0.9975
B0BMGB3CH9,0.9975,Positive,0.9975
B0BMGG6NKT,0.9975,Positive,0.9975
B08LVVTGZK,0.9975,Positive,0.9975
B08LHTJTBB,0.9974,Positive,0.9974
B09YV4MW2T,0.99725,Positive,0.9974
B0762HXMTF,0.9974,Positive,0.9974
B00W56GLOQ,0.9973,Positive,0.9973
B07XLML2YS,0.9973,Positive,0.9973
B091JF2TFD,0.9973,Positive,0.9973
B0BLC2BYPX,0.9973,Positive,0.9973
B08WLY8V9S,0.9972,Positive,0.9972
B0763K5HLQ,0.9972,Positive,0.9972
B0BJYSCWFQ,0.9972,Positive,0.9972
B07FL3WRX5,0.9972,Positive,0.9972
B09KGV7WSV,0.9972,Positive,0.9972
B09VC2D2WG,0.9972,Positive,0.9972
B07YNTJ8ZM,0.9972,Positive,0.9972
B0BF54972T,0.9971,Positive,0.9971
B0BF54LXW6,0.9971,Positive,0.9971
B0798PJPCL,0.9971,Positive,0.9971
B09YV3K34W,0.9971,Positive,0.9971
B07TR5HSR9,0.9971,Positive,0.9971
B01NCVJMKX,0.9971,Positive,0.9971
B0BF563HB4,0.9971,Positive,0.9971
B0BF57RN3K,0.9971,Positive,0.9971
B07YR26BJ3,0.9971,Positive,0.9971
B08FB2LNSZ,0.9971,Positive,0.9971
B0BF4YBLPX,0.9971,Positive,0.9971
B09LHZSMRR,0.997,Positive,0.997
B07JF9B592,0.997,Positive,0.997
B09LJ116B5,0.997,Positive,0.997
B07L8KNP5F,0.997,Positive,0.997
B07NKNBTT3,0.997,Positive,0.997
B09LHYZ3GJ,0.997,Positive,0.997
B08LT9BMPP,0.997,Positive,0.997
B0B3TBY2YX,0.9969,Positive,0.9969
B0B2PQL5N3,0.9969,Positive,0.9969
B0B23LW7NV,0.9969,Positive,0.9969
B08VJFYH6N,0.9969,Positive,0.9969
B0B1MDZV9C,0.9969,Positive,0.9969
B07H3N8RJH,0.9969,Positive,0.9969
B09SGGRKV8,0.9968,Positive,0.9968
B09CMP1SC8,0.9968,Positive,0.9968
B0B72BSW7K,0.9968,Positive,0.9968
B07N42JB4S,0.9967,Positive,0.9967
B00J4YG0PC,0.9967,Positive,0.9967
B0BC8BQ432,0.9967,Positive,0.9967
B07P681N66,0.9967,Positive,0.9967
B0859M539M,0.9967,Positive,0.9967
B0B9XLX8VR,0.9967,Positive,0.9967
B08461VC1Z,0.9966,Positive,0.9966
B01D5H90L4,0.9966,Positive,0.9966
B00EDJJ7FS,0.9966,Positive,0.9966
B07DKZCZ89,0.9966,Positive,0.9966
B09J2MM5C6,0.9966,Positive,0.9966
B07LFQLKFZ,0.9966,Positive,0.9966
B01N1XVVLC,0.9965,Positive,0.9965
B0B4F2ZWL3,0.9964,Positive,0.9964
B0819ZZK5K,0.9964,Positive,0.9964
B0B4F2TTTS,0.9964,Positive,0.9964
B0B4F5L738,0.9964,Positive,0.9964
B083RD1J99,0.9964,Positive,0.9964
B00KXULGJQ,0.9964,Positive,0.9964
B0B4F3QNDM,0.9964,Positive,0.9964
B0B4F2XCK3,0.9964,Positive,0.9964
B0B4F4QZ1H,0.9964,Positive,0.9964
B0B4F1YC3J,0.9964,Positive,0.9964
B0B4F52B5X,0.9964,Positive,0.9964
B083GKDRKR,0.9962,Positive,0.9962
B004IO5BMQ,0.9962,Positive,0.9962
B09P564ZTJ,0.9962,Positive,0.9962
B00LXTFMRS,0.9962,Positive,0.9962
B0BMXMLSMM,0.9961,Positive,0.9961
B07Z51CGGH,0.9961,Positive,0.9961
B0949FPSFY,0.9961,Positive,0.9961
B08LW31NQ6,0.9961,Positive,0.9961
B07RCGTZ4M,0.9961,Positive,0.9961
B07VTFN6HM,0.9961,Positive,0.9961
B07WVQG8WZ,0.996,Positive,0.996
B01M265AAK,0.996,Positive,0.996
B0BN6M3TCM,0.996,Positive,0.996
B07Z53L5QL,0.996,Positive,0.996
B08LPJZSSW,0.996,Positive,0.996
B0B8ZM9RVV,0.9959,Positive,0.9959
B078JDNZJ8,0.9959,Positive,0.9959
B00P93X0VO,0.9959,Positive,0.9959
B0949SBKMP,0.9958,Positive,0.9958
B08CF3B7N1,0.9958,Positive,0.9958
B015GX9Y0W,0.9958,Positive,0.9958
B01L8ZNWN2,0.9958,Positive,0.9958
B0B25LQQPC,0.9957,Positive,0.9957
B07QMRHWJD,0.9957,Positive,0.9957
B00NFD0ETQ,0.9957,Positive,0.9957
B07P434WJY,0.9957,Positive,0.9957
B09J2SCVQT,0.9956,Positive,0.9956
B09SJ1FTYV,0.9956,Positive,0.9956
B073BRXPZX,0.9956,Positive,0.9956
B00RGLI0ZS,0.9955,Positive,0.9955
B08M66K48D,0.9955,Positive,0.9955
B09P22HXH6,0.9955,Positive,0.9955
B09RX1FK54,0.9955,Positive,0.9955
B09RWZRCP1,0.9955,Positive,0.9955
B07GVR9TG7,0.9955,Positive,0.9955
B07X2L5Z8C,0.9955,Positive,0.9955
B082FTPRSK,0.9955,Positive,0.9955
B0B296NTFV,0.9954,Positive,0.9954
B07S851WX5,0.9954,Positive,0.9954
B008QS9J6Y,0.9954,Positive,0.9954
B07VJ9ZTXS,0.9954,Positive,0.9954
B09CMQRQM6,0.9953,Positive,0.9953
B07Y9PY6Y1,0.9953,Positive,0.9953
B09SFRNKSR,0.9953,Positive,0.9953
B0B5GJRTHB,0.9953,Positive,0.9953
B08ZN4B121,0.9952,Positive,0.9952
B09Y5MP7C4,0.9952,Positive,0.9952
B09FZ89DK6,0.9952,Positive,0.9952
B09X5HD5T1,0.9951,Positive,0.9951
B086GVRP63,0.9951,Positive,0.9951
B08H673XKN,0.9951,Positive,0.9951
B07H3WDC4X,0.9951,Positive,0.9951
B09J4YQYX3,0.9951,Positive,0.9951
B09474JWN6,0.995,Positive,0.995
B014I8SSD0,0.995,Positive,0.995
B09SDDQQKP,0.995,Positive,0.995
B014I8SX4Y,0.995,Positive,0.995
B07KSMBL2H,0.995,Positive,0.995
B0BNVBJW2S,0.9949,Positive,0.9949
B0BNV7JM5Y,0.9949,Positive,0.9949
B09MJ77786,0.9949,Positive,0.9949
B08C4Z69LN,0.9949,Positive,0.9949
B09RFB2SJQ,0.9949,Positive,0.9949
B08B6XWQ1C,0.9949,Positive,0.9949
B07R99NBVB,0.9948,Positive,0.9948
B08TM71L54,0.9948,Positive,0.9948
B08FGNPQ9X,0.9948,Positive,0.9948
B0B3CQBRB4,0.9947,Positive,0.9947
B0B3CPQ5PF,0.9947,Positive,0.9947
B08BJN4MP3,0.9947,Positive,0.9947
B00TDD0YM4,0.9947,Positive,0.9947
B0B3D39RKV,0.9947,Positive,0.9947
B00JBNZPFM,0.9946,Positive,0.9946
B09TMZ1MF8,0.9946,Positive,0.9946
B08SKZ2RMG,0.9945,Positive,0.9945
B07S9S86BF,0.9944,Positive,0.9944
B07TTSS5MP,0.9944,Positive,0.9944
B08H9Z3XQW,0.9944,Positive,0.9944
B087JWLZ2K,0.9944,Positive,0.9944
B0BCKWZ884,0.9944,Positive,0.9944
B09QGZFBPM,0.9943,Positive,0.9943
B09C6HXFC1,0.9943,Positive,0.9943
B0746JGVDS,0.9943,Positive,0.9943
B01M0505SJ,0.9943,Positive,0.9943
B09QGZM8QB,0.9943,Positive,0.9943
